GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
User Service,com.prav.user.aspect,ApiLoggingAspect,124,283,26,12,20,62,23,7,4,7
User Service,com.prav.user.exception,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
User Service,com.prav.user.exception,GlobalExceptionHandler,19,41,0,0,7,15,1,3,1,3
User Service,com.prav.user.exception,UserNotFoundException,4,12,0,0,2,4,1,2,1,2
User Service,com.prav.user.exception,UserOperationException,9,0,0,0,4,0,2,0,2,0
User Service,com.prav.user.dto,PizzaSizeRequestDTO,6,11,0,0,2,5,2,3,2,3
User Service,com.prav.user.dto,UserDTO,0,66,0,0,0,28,0,19,0,19
User Service,com.prav.user.dto,RestaurantCreateRequestDTO,0,38,0,0,0,11,0,11,0,11
User Service,com.prav.user.dto,PromoteRequestDTO,0,10,0,0,0,4,0,3,0,3
User Service,com.prav.user.model,User,0,71,0,0,0,29,0,19,0,19
User Service,com.prav.user.model,Restaurant,0,38,0,0,0,16,0,11,0,11
User Service,com.prav.user.controller,UserController,49,400,1,11,11,102,4,20,3,15
User Service,com.prav.user,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
User Service,com.prav.user.service,UserService,38,185,8,14,9,41,6,16,2,9
